esd,esd_name,district,type,response
121,Puget Sound Educational Service District,Tahoma,School District,true
101,Northeast WA Educational Service District,Tekoa,School District,false
113,Capital Region Educational Service District,Tenino,School District,false
105,Educational Service District,Thorp,School District,false
113,Capital Region Educational Service District,Toledo,School District,false
171,North Central Educational Service District,Tonasket,School District,false
105,Educational Service District,Toppenish,School District,false
123,Educational Service District,Touchet,School District,false
112,Educational Service Agency,Toutle Lake,School District,false
112,Educational Service Agency,Trout Lake,School District,false
121,Puget Sound Educational Service District,Tukwila,School District,false
113,Capital Region Educational Service District,Tumwater,School District,false
105,Educational Service District,Union Gap,School District,false
121,Puget Sound Educational Service District,University Place,School District,false
101,Northeast WA Educational Service District,Valley,School District,false
112,Educational Service Agency,Vancouver,School District,true
121,Puget Sound Educational Service District,Vashon Island,School District,false
113,Capital Region Educational Service District,Wa He Lut Indian,School,false
112,Educational Service Agency,Wahkiakum,School District,false
105,Educational Service District,Wahluke,School District,false
123,Educational Service District,Waitsburg,School District,false
123,Educational Service District,Walla Walla,Public Schools,false
105,Educational Service District,Wapato,School District,false
171,North Central Educational Service District,Warden,School District,false
112,Educational Service Agency,Washington School for the Deaf,,false
112,Educational Service Agency,Washington State School for the Blind,,false
112,Educational Service Agency,Washougal,School District,false
101,Northeast WA Educational Service District,Washtucna,School District,false
171,North Central Educational Service District,Waterville,School District,false
101,Northeast WA Educational Service District,Wellpinit,School District,false
171,North Central Educational Service District,Wenatchee,School District,true
101,Northeast WA Educational Service District,West Valley (Spokane),School District,false
105,Educational Service District,West Valley (Yakima),School District,true
113,Capital Region Educational Service District,White Pass,School District,false
121,Puget Sound Educational Service District,White River,School District,false
112,Educational Service Agency,White Salmon Valley,School District,true
101,Northeast WA Educational Service District,Wilbur,School District,false
113,Capital Region Educational Service District,Willipa Valley,School District,false
171,North Central Educational Service District,Wilson Creek,School District,false
113,Capital Region Educational Service District,Winlock,School District,false
113,Capital Region Educational Service District,Wishkah Valley,School District,false
112,Educational Service Agency,Wishram,School District,false
112,Educational Service Agency,Woodland,School District,false
105,Educational Service District,Yakima,School District,true
113,Capital Region Educational Service District,Yelm,School District,false
105,Educational Service District,Zillah,School District,false
